source,target,vegetarian
milk/cream,raspberry,32
milk/cream,rice,16
milk/cream,rosemary,9
milk/cream,rum,18
milk/cream,sage,8
milk/cream,sour cream,20
milk/cream,spinach,13
milk/cream,strawberry,36
milk/cream,sweet potato/yam,12
milk/cream,thyme,10
milk/cream,tomato,12
milk/cream,vanilla,58
milk/cream,walnut,18
milk/cream,white wine,9
milk/cream,yogurt,7
mint,olive,6
mint,onion,20
mint,orange,6
mint,parsley,22
mint,pasta,9
mint,peanut,5
mint,pineapple,5
mint,potato,6
mint,rice,6
mint,ricotta,5
mint,sour cream,6
mint,strawberry,9
mint,sugar snap pea,6
mint,tomato,22
mint,watermelon,6
mint,yogurt,13
mint,zucchini,8
monterey jack,tortillas,7
mozzarella,mushroom,5
mozzarella,olive,7
mozzarella,parmesan,14
mozzarella,pasta,14
mozzarella,potato,6
mozzarella,ricotta,6
mozzarella,tomato,25
mushroom,noodle,8
mushroom,olive,6
mushroom,onion,32
mushroom,parmesan,21
mushroom,parsley,10
mushroom,pasta,31
mushroom,pea,5
mushroom,pepper,13
mushroom,potato,21
mushroom,rice,13
mushroom,rosemary,10
mushroom,sour cream,5
mushroom,soy,7
mushroom,spinach,13
mushroom,sweet potato/yam,5
mushroom,swiss cheese,5
mushroom,thyme,7
mushroom,tomato,19
mushroom,white wine,10
mustard,onion,19
mustard,potato,11
mustard,salad dressing,6
mustard,vinegar,14
noodle,pasta,19
noodle,tomato,6
noodle,zucchini,6
nutmeg,vanilla,5
oat,pecan,9
oat,raisin,5
oat,walnut,8
okra,tomato,6
olive,onion,18
olive,orange,5
olive,parmesan,6
olive,parsley,7
olive,pasta,19
olive,pepper,12
olive,pine nut,5
olive,potato,6
olive,rosemary,6
olive,tomato,43
olive,vinegar,5
olive,zucchini,7
onion,orange,8
onion,parmesan,20
onion,parsley,13
onion,parsnip,7
onion,pasta,21
onion,pea,6
onion,pepper,36
onion,pine nut,10
onion,pineapple,6
onion,potato,51
onion,raisin,13
onion,rice,17
onion,rosemary,9
onion,sage,6
onion,sour cream,15
onion,spinach,16
onion,squash,7
onion,sweet potato/yam,9
onion,tarragon,5
onion,thyme,14
onion,tomatillo,12
onion,tomato,86
onion,vinegar,39
onion,walnut,7
onion,yogurt,10
onion,zucchini,16
orange,pecan,10
orange,pineapple,11
orange,pistachio,6
orange,pomegranate,6
orange,raisin,7
orange,raspberry,9
orange,red wine,7
orange,rice,5
orange,sour cream,6
orange,sparkling wine,5
orange,strawberry,9
orange,sweet potato/yam,9
orange,vanilla,9
orange,vinegar,6
orange,walnut,12
orange,yogurt,5
papaya,pineapple,5
parmesan,parsley,13
parmesan,pasta,42
parmesan,pea,5
parmesan,pine nut,14
parmesan,potato,20
parmesan,ricotta,14
parmesan,rosemary,5
parmesan,sage,11
parmesan,spinach,13
parmesan,squash,6
parmesan,thyme,5
parmesan,tomato,25
parmesan,white wine,5
parmesan,zucchini,11
parsley,pasta,13
parsley,pea,5
parsley,pine nut,5
parsley,potato,16
parsley,rice,5
parsley,tarragon,8
parsley,thyme,6
parsley,tomato,16
parsley,vinegar,6
parsley,walnut,7
parsley,zucchini,5
parsnip,potato,15
parsnip,rosemary,5
parsnip,rutabaga,5
parsnip,turnip,12
pasta,pea,10
pasta,peanut,6
pasta,pepper,12
pasta,pine nut,14
pasta,potato,6
pasta,raisin,7
pasta,ricotta,18
pasta,sage,5
pasta,sour cream,5
pasta,spinach,11
pasta,squash,8
pasta,sugar snap pea,5
pasta,tomato,76
pasta,walnut,7
pasta,white wine,6
pasta,zucchini,14
pea,potato,7
pea,rice,8
pea,sugar snap pea,5
pea,tomato,9
peach,raspberry,12
pear,phyllo/puff pastry dough,6
pear,raspberry,6
pear,red wine,6
pear,walnut,10
pear,white wine,5
pecan,pumpkin,5
pecan,raisin,10
pecan,rum,5
pecan,sour cream,6
pecan,sweet potato/yam,13
pecan,vanilla,7
pecan,walnut,10
pepper,potato,7
pepper,rice,8
pepper,sour cream,7
pepper,spinach,5
pepper,tomatillo,7
pepper,tomato,26
pepper,zucchini,7
phyllo/puff pastry dough,raspberry,5
phyllo/puff pastry dough,tomato,7
pine nut,raisin,16
pine nut,rice,7
pine nut,ricotta,5
pine nut,spinach,5
pine nut,tomato,12
pineapple,rum,8
pineapple,strawberry,5
pistachio,raisin,11
pistachio,rice,6
pistachio,strawberry,5
pistachio,walnut,5
pistachio,yogurt,6
plum,vanilla,5
potato,rosemary,18
potato,sage,8
potato,sour cream,9
potato,spinach,6
potato,sugar snap pea,5
potato,sweet potato/yam,22
potato,thyme,11
potato,tomato,18
potato,turnip,10
potato,vinegar,7
potato,yogurt,5
potato,zucchini,8
pumpkin,squash,7
pumpkin,walnut,7
radish,watercress,7
raisin,rice,18
raisin,rum,10
raisin,sour cream,5
raisin,vinegar,7
raisin,walnut,14
raspberry,rhubarb,5
raspberry,strawberry,14
raspberry,yogurt,5
rhubarb,strawberry,12
rice,saffron,7
rice,tomato,18
ricotta,spinach,6
ricotta,tomato,13
ricotta,zucchini,5
rosemary,thyme,7
sage,sweet potato/yam,5
salad dressing,vinegar,7
sour cream,vanilla,5
soy,soy sauce,5
soy,tofu,11
soy sauce,tofu,7
spinach,tomato,8
spinach,vinegar,8
squash,tomato,7
squash,zucchini,8
strawberry,vanilla,5
strawberry,vinegar,7
tarragon,tomato,6
tarragon,zucchini,5
thyme,tomato,7
tomato,tortillas,11
tomato,vinegar,12
tomato,yogurt,10
tomato,zucchini,32
vinegar,walnut,5
walnut,yogurt,10
walnut,zucchini,6
yellow squash,zucchini,11
yogurt,zucchini,5
